City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,severo-yeniseyskiy,60.3725,93.0408,274.01,90,99,4.89,RU,1727218269
353,yuzhno-kurilsk,44.0306,145.8556,287.87,69,35,5.44,RU,1727218270
354,carutapera,-1.195,-46.02,298.73,77,26,4.61,BR,1727218272
355,queenstown,-31.8976,26.8753,285.86,88,53,0.85,ZA,1727218093
356,taloqan,36.7361,69.5345,293.79,30,0,0.9,AF,1727218277
357,eastham,41.8301,-69.9739,288.75,87,99,1.34,US,1727218278
358,bunia,1.5667,30.25,292.65,73,86,1.0,CD,1727218279
359,kitimat,54.0524,-128.6534,285.2,26,100,0.6,CA,1727218164
360,nago,26.5881,127.9761,299.83,88,65,1.57,JP,1727218282
361,gornyatskiy,48.2915,40.9575,284.34,35,9,3.4,RU,1727218283
